Brazil,CONMEBOL,0.00,746.63,0.00,0.00
Argentina,CONMEBOL,0.00,512.98,0.00,0.00
Germany,UEFA,0.00,589.60,0.00,0.00
Chile,CONMEBOL,0.00,584.18,0.00,0.00
Colombia,CONMEBOL,0.00,619.07,0.00,0.00
France,UEFA,0.00,481.01,0.00,0.00
Belgium,UEFA,0.00,552.65,0.00,0.00
Portugal,UEFA,0.00,682.02,0.00,0.00
Switzerland,UEFA,0.00,678.06,0.00,0.00
Spain,UEFA,0.00,683.14,0.00,0.00
Poland,UEFA,0.00,209.50,0.00,0.00
Italy,UEFA,0.00,557.81,0.00,0.00
Wales,UEFA,0.00,310.21,0.00,0.00
England,UEFA,0.00,464.95,0.00,0.00
Uruguay,CONMEBOL,0.00,692.90,0.00,0.00
Fiji,OFC,0.00,0.00,0.00,0.00
New Caledonia,OFC,0.00,0.00,0.00,0.00
Mexico,CONCACAF,0.00,404.36,0.00,0.00
Peru,CONMEBOL,0.00,281.73,0.00,0.00
Croatia,UEFA,0.00,268.93,0.00,0.00
Egypt,CAF,0.00,582.67,0.00,0.00
Costa Rica,CONCACAF,0.00,456.00,0.00,0.00
Iceland,UEFA,0.00,318.00,0.00,0.00
Turkey,UEFA,0.00,392.72,0.00,0.00
USA,CONCACAF,0.00,640.42,0.00,0.00
Slovakia,UEFA,0.00,341.50,0.00,0.00
Ecuador,CONMEBOL,0.00,276.65,0.00,0.00
Northern Ireland,UEFA,0.00,255.07,0.00,0.00
Republic of Ireland,UEFA,0.00,160.33,0.00,0.00
Iran,AFC,0.00,439.32,0.00,0.00
Bosnia and Herzegovina,UEFA,0.00,334.69,0.00,0.00
Senegal,CAF,0.00,270.76,0.00,0.00
Hungary,UEFA,0.00,237.12,0.00,0.00
Netherlands,UEFA,0.00,403.65,0.00,0.00
Cameroon,CAF,0.00,345.86,0.00,0.00
Sweden,UEFA,0.00,345.86,0.00,0.00
Burkina Faso,CAF,0.00,247.79,0.00,0.00
Austria,UEFA,0.00,445.36,0.00,0.00
Australia,AFC,0.00,240.62,0.00,0.00
Ukraine,UEFA,0.00,594.92,0.00,0.00
Paraguay,CONMEBOL,0.00,232.57,0.00,0.00
Greece,UEFA,0.00,586.67,0.00,0.00
Nigeria,CAF,0.00,275.43,0.00,0.00
DR Congo,CAF,0.00,155.11,0.00,0.00
Tunisia,CAF,0.00,276.96,0.00,0.00
South Korea,AFC,0.00,217.75,0.00,0.00
Japan,AFC,0.00,213.61,0.00,0.00
Ghana,CAF,0.00,270.20,0.00,0.00
Czech Republic,UEFA,0.00,311.87,0.00,0.00
Romania,UEFA,0.00,401.73,0.00,0.00
Ivory Coast,CAF,0.00,401.73,0.00,0.00
Serbia,UEFA,0.00,449.17,0.00,0.00
Denmark,UEFA,0.00,355.11,0.00,0.00
Saudi Arabia,AFC,0.00,297.06,0.00,0.00
Morocco,CAF,0.00,210.95,0.00,0.00
Algeria,CAF,0.00,457.54,0.00,0.00
Slovenia,UEFA,0.00,529.05,0.00,0.00
Bulgaria,UEFA,0.00,185.66,0.00,0.00
Panama,CONCACAF,0.00,392.48,0.00,0.00
Venezuela,CONMEBOL,0.00,320.04,0.00,0.00
Scotland,UEFA,0.00,594.04,0.00,0.00
Uzbekistan,AFC,0.00,303.39,0.00,0.00
Montenegro,UEFA,0.00,160.11,0.00,0.00
Israel,UEFA,0.00,199.00,0.00,0.00
South Africa,CAF,0.00,220.15,0.00,0.00
Haiti,CONCACAF,0.00,179.24,0.00,0.00
Albania,UEFA,0.00,164.81,0.00,0.00
Armenia,UEFA,0.00,520.63,0.00,0.00
Honduras,CONCACAF,0.00,480.75,0.00,0.00
Mali,CAF,0.00,129.07,0.00,0.00
Curaçao,CONCACAF,0.00,26.40,0.00,0.00
Guinea,CAF,0.00,323.18,0.00,0.00
Uganda,CAF,0.00,190.95,0.00,0.00
Jamaica,CONCACAF,0.00,120.08,0.00,0.00
United Arab Emirates,AFC,0.00,291.77,0.00,0.00
Bolivia,CONMEBOL,0.00,205.86,0.00,0.00
Trinidad and Tobago,CONCACAF,0.00,227.24,0.00,0.00
Faroe Islands,UEFA,0.00,21.25,0.00,0.00
Kenya,CAF,0.00,145.34,0.00,0.00
Belarus,UEFA,0.00,141.74,0.00,0.00
Syria,AFC,0.00,85.69,0.00,0.00
China PR,AFC,0.00,132.40,0.00,0.00
Cape Verde,CAF,0.00,374.62,0.00,0.00
Benin,CAF,0.00,165.12,0.00,0.00
Gabon,CAF,0.00,177.05,0.00,0.00
Congo,CAF,0.00,127.42,0.00,0.00
Norway,UEFA,0.00,182.88,0.00,0.00
Azerbaijan,UEFA,0.00,259.75,0.00,0.00
Swaziland,CAF,0.00,35.26,0.00,0.00
Qatar,AFC,0.00,160.54,0.00,0.00
Mauritania,CAF,0.00,79.67,0.00,0.00
Libya,CAF,0.00,233.52,0.00,0.00
Guatemala,CONCACAF,0.00,12.50,0.00,0.00
Antigua and Barbuda,CONCACAF,0.00,0.00,0.00,0.00
Namibia,CAF,0.00,103.33,0.00,0.00
Guinea-Bissau,CAF,0.00,0.00,0.00,0.00
Cyprus,UEFA,0.00,367.11,0.00,0.00
Finland,UEFA,0.00,367.11,0.00,0.00
Zambia,CAF,0.00,134.92,0.00,0.00
St. Kitts and Nevis,CONCACAF,0.00,0.00,0.00,0.00
Malawi,CAF,0.00,73.69,0.00,0.00
Nicaragua,CONCACAF,0.00,0.00,0.00,0.00
Lithuania,UEFA,0.00,150.44,0.00,0.00
India,AFC,0.00,58.58,0.00,0.00
Estonia,UEFA,0.00,144.31,0.00,0.00
Kazakhstan,UEFA,0.00,129.57,0.00,0.00
Mozambique,CAF,0.00,87.02,0.00,0.00
Togo,CAF,0.00,145.77,0.00,0.00
El Salvador,CONCACAF,0.00,267.17,0.00,0.00
Canada,CONCACAF,0.00,54.61,0.00,0.00
Jordan,AFC,0.00,272.08,0.00,0.00
New Zealand,OFC,0.00,56.91,0.00,0.00
Papua New Guinea,OFC,0.00,0.00,0.00,0.00
Solomon Islands,OFC,0.00,0.00,0.00,0.00
Tahiti,OFC,0.00,0.00,0.00,0.00
Vanuatu,OFC,0.00,0.00,0.00,0.00
American Samoa,OFC,0.00,0.00,0.00,0.00
Samoa,OFC,0.00,0.00,0.00,0.00
Tonga,OFC,0.00,0.00,0.00,0.00
Cook Islands,OFC,0.00,0.00,0.00,0.00
Sierra Leone,CAF,0.00,198.23,0.00,0.00
Oman,AFC,0.00,242.23,0.00,0.00
North Korea,AFC,0.00,16.51,0.00,0.00
Equatorial Guinea,CAF,0.00,67.94,0.00,0.00
Rwanda,CAF,0.00,78.73,0.00,0.00
Suriname,CONCACAF,0.00,26.40,0.00,0.00
Iraq,AFC,0.00,119.25,0.00,0.00
Botswana,CAF,0.00,227.74,0.00,0.00
Madagascar,CAF,0.00,0.00,0.00,0.00
Georgia,UEFA,0.00,84.64,0.00,0.00
Yemen,AFC,0.00,25.80,0.00,0.00
Latvia,UEFA,0.00,132.60,0.00,0.00
Ethiopia,CAF,0.00,144.42,0.00,0.00
Palestine,AFC,0.00,0.00,0.00,0.00
Philippines,AFC,0.00,43.97,0.00,0.00
Kyrgyzstan,AFC,0.00,41.48,0.00,0.00
Thailand,AFC,0.00,54.18,0.00,0.00
Central African Republic,CAF,0.00,0.00,0.00,0.00
Niger,CAF,0.00,114.63,0.00,0.00
Bahrain,AFC,0.00,151.92,0.00,0.00
Macedonia,UEFA,0.00,232.88,0.00,0.00
Puerto Rico,CONCACAF,0.00,0.00,0.00,0.00
Tanzania,CAF,0.00,69.66,0.00,0.00
Vietnam,AFC,0.00,119.71,0.00,0.00
Lebanon,AFC,0.00,121.54,0.00,0.00
Tajikistan,AFC,0.00,28.38,0.00,0.00
Guyana,CONCACAF,0.00,0.00,0.00,0.00
Turkmenistan,AFC,0.00,0.00,0.00,0.00
Liberia,CAF,0.00,53.15,0.00,0.00
Burundi,CAF,0.00,70.69,0.00,0.00
Comoros,CAF,0.00,23.74,0.00,0.00
Angola,CAF,0.00,146.36,0.00,0.00
Belize,CONCACAF,0.00,19.71,0.00,0.00
Luxembourg,UEFA,0.00,166.30,0.00,0.00
Dominican Republic,CONCACAF,0.00,0.00,0.00,0.00
Lesotho,CAF,0.00,82.60,0.00,0.00
Hong Kong,AFC,0.00,21.50,0.00,0.00
Chad,CAF,0.00,0.00,0.00,0.00
Maldives,AFC,0.00,51.74,0.00,0.00
Afghanistan,AFC,0.00,114.67,0.00,0.00
Sudan,CAF,0.00,112.16,0.00,0.00
South Sudan,CAF,0.00,0.00,0.00,0.00
Malaysia,AFC,0.00,79.30,0.00,0.00
Moldova,UEFA,0.00,224.18,0.00,0.00
Singapore,AFC,0.00,80.33,0.00,0.00
Mauritius,CAF,0.00,40.59,0.00,0.00
Chinese Taipei,AFC,0.00,30.44,0.00,0.00
Aruba,CONCACAF,0.00,34.80,0.00,0.00
Cuba,CONCACAF,0.00,136.98,0.00,0.00
Bhutan,AFC,0.00,0.00,0.00,0.00
Myanmar,AFC,0.00,0.00,0.00,0.00
Gambia,CAF,0.00,92.88,0.00,0.00
St. Lucia,CONCACAF,0.00,68.11,0.00,0.00
Nepal,AFC,0.00,52.32,0.00,0.00
Barbados,CONCACAF,0.00,0.00,0.00,0.00
Cambodia,AFC,0.00,0.00,0.00,0.00
Laos,AFC,0.00,8.60,0.00,0.00
Grenada,CONCACAF,0.00,68.11,0.00,0.00
St. Vincent and the Grenadines,CONCACAF,0.00,35.20,0.00,0.00
Sao Tomé e Príncipe,CAF,0.00,0.00,0.00,0.00
Malta,UEFA,0.00,122.81,0.00,0.00
Guam,AFC,0.00,43.10,0.00,0.00
Macau,AFC,0.00,0.00,0.00,0.00
Bermuda,CONCACAF,0.00,0.00,0.00,0.00
Dominica,CONCACAF,0.00,35.20,0.00,0.00
Brunei,AFC,0.00,0.00,0.00,0.00
Liechtenstein,UEFA,0.00,40.00,0.00,0.00
Anguilla,CONCACAF,0.00,0.00,0.00,0.00
Eritrea,CAF,0.00,0.00,0.00,0.00
Somalia,CAF,0.00,0.00,0.00,0.00
Djibouti,CAF,0.00,0.00,0.00,0.00
Bangladesh,AFC,0.00,18.06,0.00,0.00
Timor-Leste,AFC,0.00,0.00,0.00,0.00
Seychelles,CAF,0.00,52.63,0.00,0.00
Sri Lanka,AFC,0.00,25.80,0.00,0.00
US Virgin Islands,CONCACAF,0.00,0.00,0.00,0.00
Montserrat,CONCACAF,0.00,0.00,0.00,0.00
Pakistan,AFC,0.00,43.00,0.00,0.00
Turks and Caicos Islands,CONCACAF,0.00,0.00,0.00,0.00
Cayman Islands,CONCACAF,0.00,0.00,0.00,0.00
San Marino,UEFA,0.00,0.00,0.00,0.00
British Virgin Islands,CONCACAF,0.00,0.00,0.00,0.00
Andorra,UEFA,0.00,11.00,0.00,0.00
Mongolia,AFC,0.00,0.00,0.00,0.00
Bahamas,CONCACAF,0.00,0.00,0.00,0.00